#X	Y	Z	HWP_power	HWP_stepper	pmtA_signal	pmtB_signal	time
28.6881	39.695	30.001	0.0	338.004484	0.0007185255	0.0134905066	1526483422.9399765
28.6883	39.695	30.0012	0.0	340.022422	0.0008288294	0.0129859683	1526483423.1629894
28.6871	39.6927	29.9994	0.0	341.984305	0.000664021	0.0135513287	1526483423.3610008
28.6876	39.6938	30.0005	0.0	344.002242	0.0006491926	0.0134947096	1526483423.572013
28.6883	39.6951	29.999	0.0	346.020179	0.0007285495	0.0132884489	1526483423.7680237
28.6883	39.6984	30.0008	0.0	347.982063	0.0006871171	0.0124457539	1526483423.964035
28.6884	39.6891	29.9963	0.0	350.0	0.0007207247	0.0127986436	1526483424.1630464
28.6871	39.6936	29.9999	0.0	352.017937	0.0006771238	0.0124335984	1526483424.3610578
28.6882	39.6973	30.0025	0.0	353.979821	0.0007137303	0.0113759135	1526483424.608072
28.6878	39.6931	29.9997	0.0	355.997758	0.0007525498	0.008861728	1526483424.8150837
